id,Authentichumilityfeelings,Degradinghumilityfeelings,humtot,emptot,toltot,hex,bhs,cole,Attitude,gender,age
1,4,1.4,5.71,3.27,3.22,6,6.5,4.63,3.67,2,51
2,6.75,1.6,4.32,6.36,6.11,4.5,3.83,4.63,4.67,1,31
3,6.38,1.8,5.14,4.09,4.56,6.5,5.17,3.75,5.33,1,37
4,6.25,5,6.26,4.09,6.22,7,6.67,5.13,2.67,1,35
5,6.13,3.6,6.5,5,5.67,7,6.5,6,1,1,59
6,,3,4.75,2.09,5,4.5,5,4.75,4.33,1,47
7,5.75,4.8,6.39,4,5.78,7,5.67,6.5,4,2,46
8,,3.6,4.53,3.64,2,4.5,4.33,4.75,2.67,2,48
9,5.38,4.8,6.35,4.36,4.38,7,6.67,5.38,2.67,2,49
10,5.38,2.8,4.01,4.27,5,4.25,3.67,4.13,5,1,29
11,4.5,3,5.39,2.82,3,5.75,5.67,4.75,2,2,35
12,6,4,6.6,5.09,6.11,7,6.67,6.13,4.67,2,44
13,4,4,6.11,4.91,4.89,6.5,6.33,5.5,4.33,2,48
14,4.88,4.2,5.74,5.09,6.33,6,6.33,4.88,4.67,2,49
15,3.63,4.8,4.63,4.45,4.33,5.5,5.5,2.88,4.33,,38
16,4.38,3.4,6.43,6.45,6.67,6.75,5.67,6.88,4.33,2,44
17,5.25,5.2,5.83,6,5.78,7,6.5,4,1,2,53
18,5.88,5.8,5.94,5.36,4.33,7,6.83,4,2.33,2,41
19,5.25,1.4,4.88,4,4.56,6.5,4.5,3.63,1,2,54
20,4.63,4.8,5.35,3.18,4.56,6.25,5.67,4.13,2.67,1,26
21,5.5,1,4.83,4,4,5.5,5,4,3,2,19
22,6.38,1,4.36,4.18,6.11,5.5,5.33,2.25,6.33,1,55
23,3,4.2,3.69,2.91,3.11,3,3.33,4.75,3.67,2,34
24,4.25,4.6,5.08,3,3.22,5.75,5,4.5,2,2,58
25,5.38,6.8,5.03,4.27,4.22,5.5,5.83,3.75,1.33,2,24
26,5.13,2.4,5.11,3.64,4,5.75,5.33,4.25,2.33,1,29
27,4.38,3.2,5.63,2.36,2.78,6.25,5.5,5.13,1.33,1,38
28,4.75,3.2,5.61,5.82,5.56,6.75,6.33,3.75,2.33,2,54
29,4.88,3.8,5.1,5.09,4.89,6.25,5.67,3.38,5.33,1,50
30,5.25,4.2,5.4,3.91,3.78,5.25,5.67,5.29,3.33,1,58
31,6,2.6,5.21,3.73,4.22,6,5.5,4.13,1.33,2,48
32,4.38,3.6,4.26,3.91,4.22,3.75,4.17,4.88,3.33,2,23
33,5.75,1.8,5.72,4.36,4.44,6.5,6.17,4.5,1.67,2,35
34,7,1.2,4.29,4.91,5.89,3,3.5,6.38,5,1,28
35,4.38,3.2,4.22,4.73,4.89,3.75,4.67,4.25,5.33,1,33
36,5.13,2.2,5.36,5.45,6.67,5.75,5.83,4.5,2.67,2,30
37,6.38,1,6.38,5,4.89,7,6,6.13,6.33,2,59
38,,3.4,6,5.73,5.33,7,6,5,4.33,1,38
39,5.25,3,4.58,3.09,4.22,5.25,6.5,2,1,2,33
40,5.25,4.2,5.63,3.36,3.44,6.25,6,4.63,1,1,38
41,3.13,1.4,5.4,3.36,3.33,6.75,6.33,3.13,3.33,2,54
