id,Authentichumilityfeelings,Degradinghumilityfeelings,humtot,emptot,toltot,hex,bhs,cole,Attitude,gender,age
1,4,1.4,5.71,4,3.58,6,6.5,4.63,3,2,51
2,6.75,1.6,4.32,6.53,6.25,4.5,3.83,4.63,5.25,1,31
3,6.38,1.8,5.14,4.8,4.92,6.5,5.17,3.75,4.75,1,37
4,6.25,5,6.26,4.87,6.42,7,6.67,5.13,2.25,1,35
5,6.13,3.6,6.5,4.73,5.75,7,6.5,6,1,1,59
6,,3,4.75,3.13,5.25,4.5,5,4.75,4.25,1,47
7,5.75,4.8,6.39,4.53,5.92,7,5.67,6.5,3.25,2,46
8,,3.6,4.53,4.07,3.17,4.5,4.33,4.75,3.25,2,48
9,5.38,4.8,6.35,5.07,5,7,6.67,5.38,3.5,2,49
10,5.38,2.8,4.01,4.73,5.17,4.25,3.67,4.13,5,1,29
11,4.5,3,5.39,3.33,3.67,5.75,5.67,4.75,1.75,2,35
12,6,4,6.6,5.4,6.33,7,6.67,6.13,5,2,44
13,4,4,6.11,4.87,4.83,6.5,6.33,5.5,3.75,2,48
14,4.88,4.2,5.74,5.47,6.42,6,6.33,4.88,4.5,2,49
15,3.63,4.8,4.63,4.67,4.33,5.5,5.5,2.88,4.25,,38
16,4.38,3.4,6.43,6.33,6.75,6.75,5.67,6.88,3.5,2,44
17,5.25,5.2,5.83,6.27,5.83,7,6.5,4,1,2,53
18,5.88,5.8,5.94,5.8,4.75,7,6.83,4,3,2,41
19,5.25,1.4,4.88,4.67,4.75,6.5,4.5,3.63,2.25,2,54
20,4.63,4.8,5.35,3.13,4.58,6.25,5.67,4.13,2.25,1,26
21,5.5,1,4.83,4.2,4.25,5.5,5,4,3.25,2,19
22,6.38,1,4.36,4.93,6.08,5.5,5.33,2.25,6,1,55
23,3,4.2,3.69,3.73,3.42,3,3.33,4.75,4.25,2,34
24,4.25,4.6,5.08,3.87,4,5.75,5,4.5,2,2,58
25,5.38,6.8,5.03,4.73,4.25,5.5,5.83,3.75,1.25,2,24
26,5.13,2.4,5.11,4.07,4.25,5.75,5.33,4.25,2.5,1,29
27,4.38,3.2,5.63,3.07,3.67,6.25,5.5,5.13,2.5,1,38
28,4.75,3.2,5.61,6.13,5.5,6.75,6.33,3.75,2,2,54
29,4.88,3.8,5.1,5.47,5.33,6.25,5.67,3.38,5.5,1,50
30,5.25,4.2,5.4,4.73,4.58,5.25,5.67,5.29,4.25,1,58
31,6,2.6,5.21,4.33,4.67,6,5.5,4.13,2.25,2,48
32,4.38,3.6,4.26,4.33,4.33,3.75,4.17,4.88,3.5,2,23
33,5.75,1.8,5.72,4.67,5.08,6.5,6.17,4.5,2.5,2,35
34,7,1.2,4.29,5.07,5.92,3,3.5,6.38,5.25,1,28
35,4.38,3.2,4.22,5.33,5.17,3.75,4.67,4.25,5.75,1,33
36,5.13,2.2,5.36,5.6,6.58,5.75,5.83,4.5,2.25,2,30
37,6.38,1,6.38,5.53,5.42,7,6,6.13,6.5,2,59
38,,3.4,6,5.8,5.33,7,6,5,3.75,1,38
39,5.25,3,4.58,3.93,4.67,5.25,6.5,2,1,2,33
40,5.25,4.2,5.63,4.13,3.67,6.25,6,4.63,1.5,1,38
41,3.13,1.4,5.4,3.87,3.75,6.75,6.33,3.13,3,2,54
42,5.25,5,4.85,5.07,5.83,4.75,4.67,5.13,2.5,2,32
43,4.25,5.2,5.26,4.53,4.33,5,5.67,5.13,4.75,1,34
44,3.63,1.6,3.71,5.2,4.5,3.75,4,3.38,1.25,2,36
45,4.75,3.6,5.75,5.93,6.58,6.25,6,5,5,2,39
46,6.63,3.2,6.42,5.27,4.42,6.75,6.5,6,1.75,1,27
47,5,3.2,4.51,4.4,3.42,4,4.67,4.88,2.75,2,23
48,5.5,5.2,4.89,4.73,4.17,5.5,5.17,4,2.5,2,21
49,5.5,2.4,4.72,5.27,4.58,4.5,3.67,6,5.25,2,61
50,5.63,3.2,5.75,3.93,5.83,7,6,4.25,2.25,1,30
51,4.38,4.2,4.54,4.33,3.75,4.75,4.5,4.38,3.75,2,27
52,5,4,6.08,5.6,6.5,7,6.5,4.75,2,2,31
53,4.13,2,5.46,5.47,5.33,6.5,5.5,4.38,1,1,32
54,5.5,6.2,5.43,4.8,5.08,5.75,5.67,4.88,4.5,2,27
55,5.5,5.6,5.54,5.2,5.83,6,5.5,5.13,2,1,37
56,7,2.4,6.56,5.4,6.25,7,6.67,6,2,2,59
57,5,2.6,5.14,4.27,4.92,5.5,4.67,5.25,4.25,2,24
58,5.38,2.4,5.18,3.93,3.83,5.75,5.17,4.63,2.75,2,31
59,6.38,3.8,6.07,4.87,4.75,7,6.83,4.38,1.25,2,38
60,4.13,2.2,4.86,5.07,5.33,5.25,4.83,4.5,4.5,2,56
61,4.75,2.6,3.93,4.33,4.67,5,3.67,3.13,3.5,2,28
62,6.38,4.2,5.5,5.13,4.5,7,6,3.5,5.25,1,28
63,4,5.2,5.54,4.87,5.75,5.25,6.5,4.88,2.25,1,27
64,4.5,3.6,5.96,6.07,5.75,7,5.5,5.38,5.25,2,42
65,4.25,1,5.54,5.33,4.5,6.25,5.5,4.88,4.5,2,41
66,5.13,4.4,6.08,5.6,6,6.25,5.5,6.5,5.5,2,38
67,2.75,1.8,3.13,4.93,4.83,2,3,4.38,2.75,2,30
68,6.25,4,6.53,5.73,5.75,7,6.33,6.25,5,1,43
69,5.88,3.6,4.99,4.8,5.58,4.75,4.33,5.88,2,2,20
70,4.25,5.6,6.38,4.67,4.33,6.75,6,6.38,5.25,1,37
71,3.5,5,6.36,2.87,2,7,6.83,5.25,1.5,2,37
72,6.88,2.6,6.07,5,6.17,7,6.33,4.88,4.5,2,72
73,4.75,4.4,5.47,4.07,4.67,5.75,5.67,5,1.5,2,19
74,,3.6,6.39,5.53,5.83,6.75,6.17,6.25,3.5,2,61
75,6.63,2.2,6.78,6.4,7,7,6.33,7,4,2,53
76,5.25,2.8,3.33,4.27,4.67,3.25,3,3.75,4.5,2,29
77,6.88,1.6,7,6.07,7,7,7,7,6.75,2,46
78,4.13,3.6,4.17,3.8,4.92,4.5,4,4,4,2,27
79,5.63,1.2,5.32,4.47,5.58,6.5,5.33,4.13,2.75,2,62
80,6.38,3.8,6.4,5.47,4.75,7,6.83,5.38,2.75,1,31
81,5.38,3.2,4.63,3,2.92,5.5,4.5,3.88,2.5,1,45
82,3.88,5,5.51,5.33,5.33,7,5.67,3.88,2.5,2,36
83,5.75,3.2,5.71,4.33,4.67,6,5,6.13,3.5,1,73
84,4.5,4.4,5.53,3.73,3,6.25,5.83,4.5,1.25,2,33
85,5.5,4,4.82,4.07,4.5,4.75,5.33,4.38,2.75,2,42
86,4.5,4.8,4.47,3.93,3.67,5,4.67,3.75,2.5,1,26
87,6,1.2,4.83,5.2,7,4.25,4.5,5.75,6.25,2,26
88,4.63,5.2,5.57,4.13,3.5,6.75,5.83,4.13,1.5,1,45
89,4.88,3.6,4.25,4.47,5.25,3.75,4.5,4.5,3.25,1,44
90,4.5,6,5.19,3,5.17,5.5,5.83,4.25,1.5,2,28
91,4.5,2.2,5.9,5.6,4.67,6.25,6.33,5.13,2.5,2,47
92,5,2.8,6.08,2.8,3.83,7,6.5,4.75,1,1,46
93,6.63,1.6,4.29,4.07,3.17,4,4.5,4.38,2.75,2,23
94,3.88,5.8,5.11,3.93,5.08,6.25,6.33,2.75,3,,27
95,4.75,1.8,4.94,5.47,5.33,4.75,4.83,5.25,4.5,1,46
96,4.75,3,4.88,4.33,4.42,5.25,5,4.38,3.75,1,62
97,5,5.2,5.38,5.27,5.33,6.75,6,3.38,2.25,1,36
98,7,3.2,6.33,4.47,6,7,5.5,6.5,1.25,2,55
99,4.25,4.2,5.44,4.07,5.42,6.75,4.83,4.75,2.5,1,36
